1900;885,2
1901;917,1
1902;904,4
1903;884,5
1904;877,1
1905;865,6
1906;864,7
1907;829,6
1908;849
1909;824,7
1910;828,1
1911;793,5
1912;801,6
1913;795,9
1914;757,9
1915;483
1916;384,7
1917;412,7
1918;472,8
1919;507
1920;838,1
1921;816,6
1922;764,4
1923;765,9
1924;757,9
1925;774,5
1926;771,7
1927;748,1
1928;753,6
1929;734,1
1930;754
1931;737,6
1932;726,3
1933;682,4
1934;681,5
1935;643,9
1936;634,3
1937;621,5
1938;615,6
1939;615,6
1940;561,3
1941;522,3
1942;575,3
1943;615,8
1944;629,9
1945;645,9
1946;843,9
1947;870,5
1948;870,8
1949;872,7
1950;862,3
1951;826,7
1952;822,2
1953;804,7
1954;810,8
1955;805,9
1956;806,9
1957;816,5
1958;812,2
1959;829,2
1960;819,8
1961;838,6
1962;832,4
1963;868,9
1964;877,8
1965;865,7
1966;863,5
1967;840,6
1968;835,8
1969;842,2
1970;850,4
1971;881,3
1972;877,5
1973;857,2
1974;801,2
1975;745,1
1976;720,4
1977;744,7
1978;737,1
1979;757,4
1980;800,4
1981;805,5
1982;797,2
1983;748,5
1984;759,9
1985;768,4
1986;778,5
1987;767,8
1988;771,3
1989;765,5
1990;762,4
1991;759,1
1992;743,7
1993;711,6
1994;711
1995;729,6
1996;734,3
1997;726,8
1998;738,1
1999;744,8
2000;774,8
2001;770,9
2002;761,6
2003;761,5
2004;767,8
2005;774,4
2006;796,9
2007;786
2008;796
2009;793,4
2010;802,2
2011;793
2012;790,3
2013;781,6
2014;781,2
2015;760,4
2016;744,7
2017;730,2
2018;719,7
2019;714
