Année;Logement
1981;0,5
1982;0,6
1983;0,7
1984;0,7
1985;0,7
1986;0,7
1987;0,7
1988;0,7
1989;0,7
1990;0,7
1991;0,8
1992;0,8
1993;0,9
1994;0,9
1995;0,9
1996;0,9
1997;0,9
1998;0,9
1999;0,9
2000;0,9
2001;0,8
2002;0,9
2003;0,8
2004;0,8
2005;0,8
2006;0,8
2007;0,8
2008;0,8
2009;0,8
2010;0,8
2011;0,8
2012;0,8
2013;0,8
2014;0,8
